内容,(%)
子供にせがまれたため仕方なく持たせた,33.1
子供の所在地がわかるようにするため,30.8
持たせた方が、メディアリテラシーや情報処理能力がつくと思ったため,14.9
習い事や塾等で必要なため,14.1
子供の要望ではないが友達が持っており、仲間外れにされないか心配なため,12.7
携帯電話にはない便利やアプリ等を使用するため,11
保護者自身がスマートフォンにしたため,9.9
パソコンの代わり,7
学校の授業、宿題等で必要なため,6.6
ゲーム機の代わり,3.5
子供の疾病等があり、大切なコミュニケーション手段として活用するため,2.2
お祝い等で、親戚等からもらったため,2.1
店員に勧められた,1.3
その他,6.3
